term1,term2,how_similar_are_the_two_combinations,how_similar_are_the_two_combinations.variance
those dogs,that opinion,3,2.449
two offices,that club,1.75,0.829
four departments,four cars,1.25,0.433
three cents,four helicopters,1,0
two clubs,four masses,1,0
all manufacturers,every farmer,1.5,0.5
these nations,this epoch,1,0
these boroughs,this desire,1,0
two goats,those horses,1,0
every maker,every fighter,2.5,1.118
four castles,four libraries,2.75,1.299
these winds,these lengths,2.25,2.165
three lengths,four dances,1.75,1.299
these rings,this ring,3.5,2.5
this temperature,all temperatures,4,1.871
this town,that village,1,0
two agencies,that household,1,0
this anger,that anger,5.75,0.433
these cats,every cat,4.5,1.118
two developers,four architects,2.25,1.299
two pigs,four goats,1,0
two helicopters,three helicopters,4.5,2.062
three architects,four photographers,1.5,0.866
all dogs,every rabbit,1,0
that city,that town,4.5,2.179
two shirts,three phones,1.5,0.866
these companies,that agency,1.75,1.299
that car,all boats,1.75,1.299
those gains,that capital,1,0
those licences,this constitution,1.5,0.5
two dogs,four pigs,3.25,2.487
two ceremonies,those balls,1.25,0.433
those incentives,those occasions,1.75,0.829
all houses,every house,4.75,1.09
those houses,this house,5.5,0.866
three drafts,four opinions,1,0
these cats,all horses,1.25,0.433
four dogs,those horses,1,0
these swords,those guns,2.5,1.658
three coats,this coat,3.25,2.278
those restaurants,those cities,1.5,0.866
these dates,these days,1.75,1.299
three cats,three horses,2,1.732
four cottages,these castles,2,1.225
those restaurants,all restaurants,5.25,1.299
those funds,that allocation,1.5,0.866
these dances,this dance,5,0.707
those masses,every length,2.5,1.658
these counties,these masses,1,0
this fund,this investment,2.25,2.165
these bonds,this bond,3.5,2.5
two credits,this credit,3.5,2.062
these villages,these weights,2.25,1.299
two cylinders,three cylinders,6.25,0.433
these dates,this date,3.75,2.385
two assignments,three ships,1.75,1.299
those clubs,every department,1.5,0.866
those tables,this extension,2.25,1.299
these bombs,those bombs,5,2.345
these treaties,these cylinders,1.75,1.299
that convention,all conventions,3,2
those lands,all states,1.5,0.5
those statutes,that statute,4.75,2.278
these nations,that agency,1.25,0.433
these snakes,those leagues,1.75,0.829
two balls,three committees,1,0
that allocation,that interest,2.75,1.299
these towns,this parish,1.75,1.299
four masses,those weights,2.25,1.639
this law,all conventions,1.75,1.299
three epochs,this day,1.25,0.433
that parish,all villages,1.5,0.866
this office,all clubs,1,0
two boroughs,two missiles,1.75,1.299
four villages,these suburbs,1.75,0.829
all manufacturers,every bottle,1.75,1.299
these villages,this village,3.5,2.062
these guitars,all guitars,5,1.225
this borough,this parish,1,0
three towns,those countries,1.75,1.299
these cats,this artist,1.25,0.433
these artists,those artists,3.5,1.658
this interest,this castle,2.5,2.598
these guitars,those funds,1,0
those gains,every mortgage,1,0
four credits,this income,1,0
three dates,those dates,2.75,2.046
those counties,this county,4.75,2.278
three goats,this dog,2.25,1.639
these artists,that pub,1.25,0.433
that land,every land,3.5,2.598
two brigades,three troops,2.75,2.487
three drafts,four drafts,4.25,2.165
two castles,four hotels,1.75,1.299
those lengths,those weights,1.25,0.433
these parties,these tribes,2.5,2.062
these villages,that village,5.75,1.09
three bonds,four pubs,1,0
two towns,these lands,1.5,0.5
all parties,every party,2.75,2.046
three artists,four architects,3.75,2.773
four suburbs,these villages,1,0
these clouds,that wind,1.75,1.299
these shirts,those households,1.25,0.433
two buses,three boats,1.8,1.166
these lands,that length,1.5,0.866
three leagues,that tribe,1.75,1.299
this constitution,this statute,2.75,2.046
these obligations,that licence,1.25,0.433
two trains,four trains,4.5,0.5
these desires,that joy,1,0
all leagues,all trains,1.75,1.299
every boat,every car,1.75,0.829
two cats,four agencies,2.5,1.5
three opinions,four opinions,5.5,1.5
that country,all countries,2.5,1.658
four goats,four motorcycles,1,0
two opinions,this opinion,5.75,0.433
three tables,four tables,4.25,2.046
these castles,these treaties,1.25,0.433
two villages,those villages,4.5,2.062
three fighters,these fighters,4.75,0.829
two cows,four cows,2,0.707
three lengths,four lengths,4,2.55
two clubs,three clubs,3.5,2.5
three troops,that nation,1,0
this fear,this bill,1.5,0.866
these lands,that interest,1,0
these pubs,these offices,3,2.449
three horses,that cow,1.75,1.299
four winds,those clouds,2.25,1.639
these companies,that company,4.2,2.227
this train,that train,6,0
two horses,three villages,1.75,1.299
two bicycles,three boats,1,0
every horse,every rabbit,2,1.225
two periods,three periods,5.75,0.829
two conventions,three dances,1.5,0.866
two families,two guns,2.75,1.299
those teams,every nation,2.25,1.639
three committees,three bottles,1.25,0.433
all hotels,every castle,2.5,1.118
three beds,those beds,5.5,1.5
two shares,four teams,1.75,1.299
these producers,those offices,1.75,1.299
two guns,three balls,1,0
those laws,those licences,3.75,1.639
these winds,this hospital,1,0
all families,every family,4.75,2.278
two pickups,four families,1,0
these shirts,those households,1.5,0.866
two troops,three troops,3.75,1.299
four cents,four pounds,3.75,1.785
three golds,those investments,2,1.225
this stretch,that guitar,1.25,0.433
three assignments,four assignments,4.5,2.291
these rings,that ring,5.5,0.5
two treaties,two bombs,2.5,1.118
this pub,every pub,5.25,1.299
all boroughs,all towns,2,1.225
those architects,every architect,5,2.345
three cars,this car,4.25,0.829
these investments,these ventures,2,1.732
these socks,every shirt,1,0
those statutes,all bonds,2,1
two bonds,that statute,1.5,0.866
these statutes,those statutes,5.75,0.829
these countries,this city,3.5,1.803
those incomes,this income,3,2.121
those passions,this passion,5.5,1.118
those funds,that income,4.25,1.785
this ship,every motorcycle,1.5,0.866
four troops,that family,1,0
those departments,those guns,2.5,1.658
these musicians,these teams,1,0
two days,two buses,2,1.225
two villas,this villa,4.5,2.062
this hotel,that fear,1,0
two farmers,those photographers,1,0
those pants,this moth,1,0
this assignment,all assignments,4.5,1.5
all cottages,every hotel,1,0
four nations,those nations,3.5,1.5
four ferries,four jets,1.75,1.299
these hotels,these wonders,2.25,2.165
those clubs,those guns,3,1.225
three houses,four yachts,2.25,1.09
this table,every table,5.75,0.829
that tribe,all tribes,5.75,0.433
those cities,this city,4.75,2.278
this hotel,this bus,1,0
every ceremony,every wedding,4.5,1.118
two villas,four villas,5.5,0.866
these kingdoms,that land,1.5,0.5
three jets,three ships,2.25,2.165
those bombs,that ceremony,1.25,0.433
these manufacturers,this restaurant,1.25,0.433
these bills,those bills,6.5,0.5
three bears,three cows,1.75,0.433
that aircraft,every aircraft,3.5,2.5
these lengths,that weight,1.75,1.299
two cottages,three cottages,4.5,2.062
these counties,these kingdoms,2.75,2.487
two manufacturers,two conventions,2.5,1.118
two rings,three rings,4.5,1.5
three cities,these cities,6,0.707
that artist,every musician,2,1
this nation,that league,1.75,0.829
two opinions,those opinions,5.75,0.433
these investments,every gain,1.8,1.166
these weights,that weight,5,2.345
those credits,every credit,5.25,0.829
that celebration,every ceremony,2.75,1.92
two bombs,two guns,2.5,1.118
two bears,two cows,1,0
these funds,that gun,1.75,0.829
these boroughs,these offices,2.5,1.658
all hotels,every dance,1,0
two departments,four departments,5.75,0.829
four producers,these producers,4,1.871
these funds,those mortgages,2,1.732
these treaties,these offices,2.25,1.299
these rings,every ring,4.75,0.433
four dates,these days,3.25,0.433
three guns,those bombs,1.75,0.829
this fund,this party,3,1.871
those phones,this phone,4.25,1.299
these boroughs,every village,1,0
two pubs,this pub,4.25,1.785
these producers,that department,1,0
those gains,those agencies,2,0.707
four hotels,these restaurants,2.25,1.639
this pub,this car,1,0
this county,all counties,4.75,1.639
two shirts,four cities,1.25,0.433
those builders,every artist,3,2
two bombers,three ships,1.5,0.5
two cups,four tornadoes,1.5,0.866
three funds,that income,3,1.871
four families,those departments,1,0
two cyclones,four cyclones,3.75,2.773
three developers,four developers,3,2.121
these countries,these counties,4,2.236
three departments,these departments,5,2.345
those automobiles,those boats,2.75,1.09
four committees,that committee,5.5,0.5
two cottages,two pounds,2.5,1.658
four kingdoms,that kingdom,3.5,2.062
that moment,all moments,5.25,1.479
two artists,four photographers,2.25,1.299
these masses,those masses,4.75,1.639
three shares,four shares,4.75,2.278
these bills,these checks,3,1.225
two pubs,this pub,2.75,1.479
two weights,this weight,4,2.121
those committees,that agency,2.5,1.118
three kingdoms,those cities,1.75,1.299
these troops,this team,1.75,0.829
these fighters,that assignment,1,0
that allocation,that capital,3.5,2.598
three counties,four counties,5,1.581
those cities,this town,4.5,2.291
these desires,these departments,3.5,1.5
two tribes,those clubs,2,1.225
every nation,every moment,1.5,0.866
all credits,all funds,3.75,1.639
these lengths,these nations,2.25,1.09
every county,every kingdom,3,0.707
these beans,these boats,1.5,0.866
those houses,this cloud,1.5,0.866
that allocation,all interests,1.25,0.433
this agency,this department,2.5,1.118
these extensions,those lengths,2.75,1.299
three rockets,four rockets,4.75,1.09
this pain,this bottle,3,1.871
four boats,this bus,1,0
three bottles,three battleships,1.75,1.299
these masses,all masses,5.5,0.5
every club,every office,2.25,1.299
two villages,three villages,2,1.732
those restaurants,that castle,1.5,0.866
these boroughs,all towns,2.75,1.299
these gains,that interest,2.75,1.785
those companies,that convention,2.25,1.639
these cars,those profits,1.75,0.829
three ceremonies,that ceremony,3.5,2.062
these producers,these beds,1.25,0.433
this table,all tables,5.5,1.118
three tables,three boats,2.5,1.118
four farmers,four rifles,2.25,2.165
three cottages,these cottages,4,2.121
two chairs,two dogs,1.75,0.829
four occasions,this occasion,4,1.871
two shillings,three shillings,4.5,2.062
three buses,three trucks,4.5,1.118
all counties,all towns,1.5,0.866
these treaties,those boats,1.25,0.433
these desires,these fears,2,1.732
two funds,three kingdoms,1.75,0.829
all tables,all masses,1.25,0.433
this obligation,every law,2.25,1.09
all laws,every chair,1.25,0.433
all periods,every moment,2.25,1.299
those rabbits,this cat,1,0
three bears,three lions,1.75,1.299
those passions,that passion,4.75,1.09
those dollars,those houses,1.5,0.5
two battleships,three countries,1,0
that club,that office,1,0
this corner,every corner,5,1.225
these opinions,that opinion,2.75,2.046
these clubs,these nations,1.25,0.433
three chairs,this chair,3.25,2.278
three corners,that corner,4,1.871
these guns,every gun,4.75,1.639
three tribes,four leagues,1.5,0.866
all phones,all households,1.25,0.433
two towns,those countries,1.5,0.866
those rabbits,every rabbit,4.75,1.09
these rings,this ring,4.2,1.939
four buses,that aircraft,2.25,1.299
this investment,that investment,4,3
this fund,this party,1,0
two troops,four troops,3.5,1.5
four fighters,that aircraft,3,2.121
three agencies,these agencies,4.5,2.062
those ships,that ship,5.75,1.09
those clouds,every cloud,5.5,0.866
all clubs,all offices,1.5,0.866
these boroughs,these counties,3,2.121
those dogs,all dogs,5.5,0.866
these ships,those licences,1.75,0.829
that artist,all artists,4.25,1.92
those fears,this momentum,2,1.225
two battleships,four fighters,2.25,1.299
three horses,three dogs,1.5,0.866
two days,two boats,1.75,0.829
this dance,that house,1,0
this hospital,that hospital,4.25,2.165
all leagues,every weight,1,0
three guns,four guns,5.5,0.5
three cottages,four cottages,4.75,2.278
three pigs,four pigs,5.25,1.479
this boat,that household,2,1.225
these cats,those statutes,2.75,1.479
two cups,three bottles,3.5,1.118
those checks,that joy,1.75,1.299
these celebrations,that hotel,1.25,0.433
three pickups,this car,1.75,1.299
two beds,three beds,3.25,2.278
four architects,these makers,3,1.581
all dates,all days,2.75,1.785
every dance,every department,3,2
three moments,four cars,1.75,1.299
all trains,every boat,1,0
all counties,every table,1,0
four restaurants,this restaurant,4.75,1.299
these towns,that country,2.25,1.639
all trains,every ship,1,0
two countries,those countries,5.5,0.866
every table,every car,1.75,0.829
those phones,this law,1,0
three periods,four days,1.75,1.299
this occasion,that occasion,5,2.449
these countries,every village,2.75,1.92
all farmers,all days,1.5,0.866
these families,these houses,1.75,1.299
three boroughs,four cannons,1.25,0.433
three manufacturers,three chairs,2.25,1.639
two hotels,three tables,1.25,0.433
three bills,these bonds,2,1.225
two dates,this date,4.25,2.165
those offices,that office,3,1.414
two missiles,two pistols,2.25,1.639
four balls,that party,1.25,0.433
four constitutions,these statutes,1.75,1.299
these bonds,these trucks,2,1.225
all lands,every borough,2.25,1.639
those guitars,all guitars,3.25,1.92
these castles,that shirt,1,0
all treaties,every town,1,0
this land,all boroughs,2.5,1.658
every county,every bill,3.5,2.291
all committees,every committee,4.75,1.639
two dogs,those rats,2.25,1.299
three bottles,this bottle,3.25,1.785
two apples,two rats,2,0.707
every dollar,every shilling,3.75,0.829
three leagues,four clubs,2.25,1.299
three clubs,that league,1.75,1.299
three developers,four committees,1.75,1.299
those companies,those troops,1.75,1.299
these shares,this moment,1,0
these moments,this dance,1.5,0.866
every committee,every office,3.25,1.09
three extensions,these lengths,1,0
these ships,every ship,4.75,0.433
those periods,this county,2.5,1.5
three musicians,three vans,3.25,2.487
those occasions,this occasion,5,1.871
two libraries,four guns,1.5,0.866
two dances,those parties,1.75,0.829
